timestamp,event_id,event_type,severity,drowsiness_score,speed,frame_number,evidence_filename,clip_filename,details
2026-07-29 15:50:02,evt_119_2261,HEAD_POSE_TILT,WARNING,0.0,76.6,119,evidence_HEAD_POSE_TILT_20260729_155002_frame_119.jpg,event_HEAD_POSE_TILT_20260729_155002.mp4,"Driver head tilt/distraction: pitch=178.7, roll=5.1, yaw=-9.0"
2026-07-29 15:50:06,evt_179_6842,HEAD_POSE_TILT,WARNING,0.0,77.6,179,evidence_HEAD_POSE_TILT_20260729_155006_frame_179.jpg,event_HEAD_POSE_TILT_20260729_155002.mp4,"Driver head tilt/distraction: pitch=178.6, roll=5.2, yaw=-11.2"
2026-07-29 15:50:11,evt_239_1194,HEAD_POSE_TILT,WARNING,0.0,85.3,239,evidence_HEAD_POSE_TILT_20260729_155011_frame_239.jpg,event_HEAD_POSE_TILT_20260729_155011.mp4,"Driver head tilt/distraction: pitch=178.8, roll=5.3, yaw=-12.5"
2026-07-29 15:50:15,evt_299_5644,HEAD_POSE_TILT,WARNING,0.0,77.0,299,evidence_HEAD_POSE_TILT_20260729_155015_frame_299.jpg,event_HEAD_POSE_TILT_20260729_155011.mp4,"Driver head tilt/distraction: pitch=178.4, roll=5.4, yaw=-10.1"
2026-07-29 15:50:20,evt_359_521,HEAD_POSE_TILT,WARNING,0.6,76.6,359,evidence_HEAD_POSE_TILT_20260729_155020_frame_359.jpg,event_HEAD_POSE_TILT_20260729_155020.mp4,"Driver head tilt/distraction: pitch=176.7, roll=5.0, yaw=-11.3"
2026-07-29 15:50:25,evt_419_5069,HEAD_POSE_TILT,WARNING,11.4,84.4,419,evidence_HEAD_POSE_TILT_20260729_155025_frame_419.jpg,event_HEAD_POSE_TILT_20260729_155020.mp4,"Driver head tilt/distraction: pitch=-177.1, roll=3.4, yaw=-6.6"
2026-07-29 15:50:29,evt_479_9772,HEAD_POSE_TILT,WARNING,71.0,78.4,479,evidence_HEAD_POSE_TILT_20260729_155029_frame_479.jpg,event_HEAD_POSE_TILT_20260729_155029.mp4,"Driver head tilt/distraction: pitch=-172.7, roll=3.4, yaw=-3.5"
2026-07-29 15:50:33,evt_539_3871,HEAD_POSE_TILT,WARNING,100.0,75.7,539,evidence_HEAD_POSE_TILT_20260729_155033_frame_539.jpg,event_HEAD_POSE_TILT_20260729_155029.mp4,"Driver head tilt/distraction: pitch=-174.0, roll=3.7, yaw=-6.3"
2026-07-29 15:50:35,evt_561_5511,MICRO_SLEEP,CRITICAL,100.0,78.3,561,evidence_MICRO_SLEEP_20260729_155035_frame_561.jpg,event_HEAD_POSE_TILT_20260729_155029.mp4,Eyes closed for 2.0s. Severe fatigue detected.
2026-07-29 15:50:39,evt_599_9246,HEAD_POSE_TILT,WARNING,100.0,83.9,599,evidence_HEAD_POSE_TILT_20260729_155039_frame_599.jpg,event_HEAD_POSE_TILT_20260729_155039.mp4,"Driver head tilt/distraction: pitch=-169.1, roll=2.3, yaw=-6.1"
2026-07-29 15:50:41,evt_621_1077,MICRO_SLEEP,CRITICAL,100.0,85.5,621,evidence_MICRO_SLEEP_20260729_155041_frame_621.jpg,event_HEAD_POSE_TILT_20260729_155039.mp4,Eyes closed for 3.0s. Severe fatigue detected.
2026-07-29 15:50:44,evt_659_4335,HEAD_POSE_TILT,WARNING,100.0,80.6,659,evidence_HEAD_POSE_TILT_20260729_155044_frame_659.jpg,event_HEAD_POSE_TILT_20260729_155039.mp4,"Driver head tilt/distraction: pitch=-169.4, roll=2.6, yaw=-8.4"
2026-07-29 15:57:04,evt_60_4345,DRIVER_MISSING,CRITICAL,0.0,84.1,60,evidence_DRIVER_MISSING_20260729_155704_frame_60.jpg,event_DRIVER_MISSING_20260729_155704.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:09,evt_139_9399,DRIVER_MISSING,CRITICAL,0.0,75.3,139,evidence_DRIVER_MISSING_20260729_155709_frame_139.jpg,event_DRIVER_MISSING_20260729_155709.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:14,evt_221_4435,DRIVER_MISSING,CRITICAL,0.0,83.9,221,evidence_DRIVER_MISSING_20260729_155714_frame_221.jpg,event_DRIVER_MISSING_20260729_155714.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:19,evt_301_9500,DRIVER_MISSING,CRITICAL,0.0,77.9,301,evidence_DRIVER_MISSING_20260729_155719_frame_301.jpg,event_DRIVER_MISSING_20260729_155719.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:24,evt_383_4527,DRIVER_MISSING,CRITICAL,0.0,81.7,383,evidence_DRIVER_MISSING_20260729_155724_frame_383.jpg,event_DRIVER_MISSING_20260729_155724.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:29,evt_467_9563,DRIVER_MISSING,CRITICAL,0.0,80.0,467,evidence_DRIVER_MISSING_20260729_155729_frame_467.jpg,event_DRIVER_MISSING_20260729_155729.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:57:34,evt_550_4597,DRIVER_MISSING,CRITICAL,0.0,78.0,550,evidence_DRIVER_MISSING_20260729_155734_frame_550.jpg,event_DRIVER_MISSING_20260729_155734.mp4,Driver's face missing/not detected for > 2 seconds.
